File,Center_x_new,Center_y_new,Orientation
ALI_ob7916010_flt_0.fits,805.271773765,304.908594706,-164.845
ALI_ob7917010_flt_0.fits,803.814891412,296.926541464,-151.881
ALI_ob7918010_flt_0.fits,801.224853197,301.961081884,-138.945
ALI_ob7919010_flt_0.fits,805.639477098,304.479600258,-31.9446
ALI_ob7919020_flt_0.fits,805.703398032,304.45382453400003,-31.9446
ALI_ob7919030_flt_0.fits,805.911275608,304.474165195,-31.9446
ALI_ob7919040_flt_0.fits,805.67517038,304.548779596,-31.9446
ALI_ob7920010_flt_0.fits,805.4085056910001,304.01885527900004,-23.9446
ALI_ob7920020_flt_0.fits,805.4412992389999,304.04435582400004,-23.9446
ALI_ob7920030_flt_0.fits,805.6043765339999,304.009831183,-23.9446
ALI_ob7920040_flt_0.fits,805.4318230639999,303.902145815,-23.9446
ALI_ob7921010_flt_0.fits,804.9016943260001,303.53137842900003,-15.9447
ALI_ob7921020_flt_0.fits,804.911464311,303.709989785,-15.9447
ALI_ob7921030_flt_0.fits,804.8838115230001,303.71967396900004,-15.9447
ALI_ob7921040_flt_0.fits,804.668046185,303.514324568,-15.9447
ALI_ob7922010_flt_0.fits,804.8190924889999,303.57892695,-7.94465
ALI_ob7922020_flt_0.fits,804.790913364,303.610423358,-7.94465
ALI_ob7922030_flt_0.fits,804.8789982139999,303.562082308,-7.94465
ALI_ob7922040_flt_0.fits,804.835957013,303.656989032,-7.94465
ALI_obsq01010_flt_0.fits,804.25,302.921,-169.945
ALI_obsq01020_flt_0.fits,804.3215407439999,303.09795130599997,-169.945
ALI_obsq01030_flt_0.fits,804.2177014539999,302.609593006,-169.945
ALI_obsq01040_flt_0.fits,804.534380124,302.945788742,-169.945
ALI_obsq02010_flt_0.fits,804.4800663780001,303.146886669,-161.945
ALI_obsq02020_flt_0.fits,804.216413123,303.07561539799997,-161.945
ALI_obsq02030_flt_0.fits,804.139299035,302.858990049,-161.945
ALI_obsq02040_flt_0.fits,804.435156845,302.715192196,-161.945
ALI_obsq03010_flt_0.fits,804.2621547089999,303.31619475400004,-153.945
ALI_obsq03020_flt_0.fits,804.117682982,303.389587806,-153.945
ALI_obsq03030_flt_0.fits,803.9659277869999,303.06239059,-153.945
ALI_obsq03040_flt_0.fits,804.1913813689999,302.99632452099996,-153.945
ALI_obsq04010_flt_0.fits,804.178733945,303.493840545,-145.945
ALI_obsq04020_flt_0.fits,804.380493023,303.190518013,-145.945
ALI_obsq04030_flt_0.fits,804.299586351,302.85685783400004,-145.945
ALI_obsq04040_flt_0.fits,804.4168066110001,302.78422794200003,-145.945
ALI_obsq05010_flt_0.fits,804.0284774439999,302.548885621,-167.945
ALI_obsq05020_flt_0.fits,803.9858394710001,302.314250254,-167.945
ALI_obsq05030_flt_0.fits,804.129880162,302.363747441,-167.945
ALI_obsq05040_flt_0.fits,804.056507897,302.154034792,-167.945
ALI_obsq06010_flt_0.fits,803.959741443,302.87394414700003,-159.945
ALI_obsq06020_flt_0.fits,804.362875489,302.611309004,-159.945
ALI_obsq06030_flt_0.fits,804.2576047460001,302.637696243,-159.945
ALI_obsq06040_flt_0.fits,804.2064159439999,302.727817183,-159.945
ALI_obsq07010_flt_0.fits,804.184790668,302.71934464099996,-151.945
ALI_obsq07020_flt_0.fits,804.161387155,302.669210746,-151.945
ALI_obsq07030_flt_0.fits,804.0730327260001,302.389476866,-151.945
ALI_obsq07040_flt_0.fits,804.236191348,302.25084744599997,-151.945
ALI_obsq08010_flt_0.fits,804.116557547,302.85226924,-143.945
ALI_obsq08020_flt_0.fits,804.274873267,302.516698183,-143.945
ALI_obsq08030_flt_0.fits,804.1295288480001,302.45781002900003,-143.945
ALI_obsq08040_flt_0.fits,804.194573258,302.384593903,-143.945
ALI_obsq09010_flt_0.fits,804.029031792,302.654418491,-165.945
ALI_obsq09020_flt_0.fits,804.151895839,302.56120122,-165.945
ALI_obsq09030_flt_0.fits,804.28013778,302.453156039,-165.945
ALI_obsq09040_flt_0.fits,804.2681557489999,302.463591349,-165.945
ALI_obsq10010_flt_0.fits,804.1798509439999,302.877348398,-157.945
ALI_obsq10020_flt_0.fits,804.2101618830001,302.816212583,-157.945
ALI_obsq10030_flt_0.fits,804.185217953,302.807781303,-157.945
ALI_obsq10040_flt_0.fits,804.299877695,302.765498381,-157.945
ALI_obsq11010_flt_0.fits,804.072163002,302.775626635,-149.945
ALI_obsq11020_flt_0.fits,804.0295382630001,302.66916586599996,-149.945
ALI_obsq11030_flt_0.fits,804.097394621,302.581908166,-149.945
ALI_obsq11040_flt_0.fits,804.253761727,302.617238572,-149.945
ALI_obsq12010_flt_0.fits,804.051258726,303.074132462,-141.945
ALI_obsq12020_flt_0.fits,804.195310982,302.92588597400004,-141.945
ALI_obsq12030_flt_0.fits,804.326073555,302.735602668,-141.945
ALI_obsq12040_flt_0.fits,804.274935424,302.782335429,-141.945
ALI_oc0x01010_flt_0.fits,804.120381141,303.090276251,-169.945
ALI_oc0x01020_flt_0.fits,804.167392902,302.942916841,-169.945
ALI_oc0x01030_flt_0.fits,804.212561139,303.001266029,-169.945
ALI_oc0x01040_flt_0.fits,804.2355234610001,302.766193513,-169.945
ALI_oc0x02010_flt_0.fits,804.2618396539999,303.182152018,-161.945
ALI_oc0x02020_flt_0.fits,803.963547435,302.86289578099996,-161.945
ALI_oc0x02030_flt_0.fits,804.165122712,302.992863807,-161.945
ALI_oc0x02040_flt_0.fits,804.183627977,303.14724341,-161.945
ALI_oc0x03010_flt_0.fits,804.02546633,303.310671846,-153.945
ALI_oc0x03020_flt_0.fits,804.1173396510001,303.364875364,-153.945
ALI_oc0x03030_flt_0.fits,804.1952704089999,303.08872921,-153.945
ALI_oc0x03040_flt_0.fits,804.274036488,303.246551496,-153.945
ALI_oc0x04010_flt_0.fits,804.013804502,302.946699236,-145.945
ALI_oc0x04020_flt_0.fits,804.062770666,302.989747485,-145.945
ALI_oc0x04030_flt_0.fits,804.009769402,302.822748019,-145.945
ALI_oc0x04040_flt_0.fits,804.1352556689999,302.635142575,-145.945
ALI_oc0x05010_flt_0.fits,804.112403344,302.909350322,-167.945
ALI_oc0x05020_flt_0.fits,804.191506103,303.191348631,-167.945
ALI_oc0x05030_flt_0.fits,804.096848394,302.969313694,-167.945
ALI_oc0x05040_flt_0.fits,804.14192,302.90724615,-167.945
ALI_oc0x06010_flt_0.fits,803.975882435,303.234865935,-159.945
ALI_oc0x06020_flt_0.fits,804.1152780169999,303.26923257,-159.945
ALI_oc0x06030_flt_0.fits,804.084502862,302.980608138,-159.945
ALI_oc0x06040_flt_0.fits,804.066316137,303.095085957,-159.945
ALI_oc0x07010_flt_0.fits,804.008740878,302.951627399,-151.945
ALI_oc0x07020_flt_0.fits,803.9929463880001,302.882976932,-151.945
ALI_oc0x07030_flt_0.fits,803.95876884,302.99574922200003,-151.945
ALI_oc0x07040_flt_0.fits,804.060258785,302.894314369,-151.945
ALI_oc0x08010_flt_0.fits,804.071712042,303.076490205,-143.945
ALI_oc0x08020_flt_0.fits,804.1205666489999,302.787669429,-143.945
ALI_oc0x08030_flt_0.fits,804.01777949,302.96456008,-143.945
ALI_oc0x08040_flt_0.fits,804.044015749,302.865923785,-143.945
